ID,Username,Rating,cleaned_text,pos_tags,entities,sentiment_score,sentiment_label
RDW05V797QQE7,BARON,5,excellent product affordable price go,"['ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB']",[],0.5719,Positive
R2V45HYX6HIIX8,Nice bat .. but grip is too thin ... Have to tie a new grip 🫤head is little disbalanced maybe delivery packaging... Tooo poor packaging by Amazon... But hopefully my product is not damaged .. now waiting for playing experience,4,product good best beginner quality good price point recommended packaging also good,"['NOUN', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADV', 'ADJ']",[],0.9287,Positive
R1OJBS99OWJ67P,Saumyadeep Ghosh,5,weight accurate finishing good colour exact display grip good use,"['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",[],0.7003,Positive
R352KBOAIS3LD5,Reshma,3,average quality ok price,"['ADJ', 'NOUN', 'ADJ', 'NOUN']",[],0.296,Positive
RUEEDJFGI2JAS,Atul Chaudhary,4,cheap worknot fragilecame good conditiongo,"['ADJ', 'DET', 'PROPN', 'ADJ', 'NOUN']",[],0.4404,Positive
R2ED94I0JGZ6BO,aneeshantony,5,sharp expected date delivery happy product thank much amazon,"['ADJ', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN']",[],0.7845,Positive
R1UTG85IVQUQ6C,Shruti Pandey,5,good daily use,"['ADJ', 'ADJ', 'NOUN']","[('daily', 'DATE')]",0.4404,Positive
R3TQ1605QL9FHC,Kapil mishra,3,writing review using month first two three week great accurate size three week started noticing sand sound using go increasing result much good build quality noticed crack one dumbell one month gon na cover tape sand filled start coming kindda slippery use properly hurry cuz keep safe injury losing balance black color abd effective workout build quality improved atleast last month see condition month sure would last month,"['VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NUM', 'NUM', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'NUM', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NUM', 'NOUN', 'NUM', 'NOUN', 'VERB', 'PART', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB', 'ADP', 'VERB', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'AUX', 'VERB', 'NOUN']","[('month first two three week', 'DATE'), ('three week', 'DATE'), ('one', 'CARDINAL'), ('one month', 'DATE'), ('last month', 'DATE'), ('condition month', 'DATE'), ('last month', 'DATE')]",0.9186,Positive
R3JY7F39M94IBO,Riya,4,cute amazing product make exercise grab flex muscle,"['ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'ADJ', 'NOUN']",[],0.7783,Positive
ROF0A6JA3S69W,Kindle Customer,4,little bigger size expected kg otherwise value money,"['ADV', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'ADV', 'VERB', 'NOUN']",[],0.34,Positive
